name,region,cityProvince,address,holes,phone,certified,status,lat,lng
칠서강나루파크골프장,경남,경남,경상남도 함안군 칠서면 이룡리 998,45,,True,공개,37.5085,127.0632
칠암파크골프장,경남,경남,경상남도 진주시 칠암동 남강둔치,9,,False,공개,37.5085,127.0632
평거지구 파크골프장,경남,경남,경상남도 진주시 평거동,18,,False,공개,35.175033,128.0618759
풍호공원 파크골프장,경남,경남,경상남도 창원시 진해구 풍호동 26-1,9,,False,공개,35.13372,128.71554
하남파크골프장,경남,경남,경상남도 밀양시 하남읍 수산리 418-5,9,,False,공개,37.5085,127.0632
하대지구 파크골프장,경남,경남,경상남도 진주시 하대동,9,,False,공개,35.1913644,128.1172632
하동군파크골프장,경남,경남,경상남도 하동군 진교면 구 고속도로 934,36,,False,공개,37.5085,127.0632
하빈파크골프장,대구,대구,대구광역시 달성군 하빈면 봉촌리 1200-3,27,,False,공개,37.5085,127.0632
함안샛담파크골프장,경남,경남,경상남도 함안군 함안면 샛담길 35-15,18,,False,공개,37.5085,127.0632
함안파크골프장,경남,경남,경상남도 함안군 법수면 법정로 200-39,18,,False,공개,37.5085,127.0632
함양파크골프장,경남,경남,경상남도 함양군 함양읍 하림강변길 131 하림공원 내,18,,False,공개,37.5085,127.0632
합천군파크골프장,경남,경남,경상남도 합천군 합천읍 합천리 20-2,36,,False,공개,37.5085,127.0632
호계리 파크골프장,경남,경남,경상남도 창원시 마산회원구 내서읍 호계 본동로 59-1,18,,False,공개,37.5085,127.0632
화명파크골프장,부산,부산,부산광역시 북구 화명동 1718-14 화명생태공원,54,,False,공개,37.5085,127.0632
화원 진천파크골프장,대구,대구,대구광역시 화원읍 구라리 1400번지 일원,18,,False,공개,37.5085,127.0632
황산공원 파크골프장,경남,경남,경상남도 양산시 물금읍 증산리967-1,36,,False,공개,37.5085,127.0632
횡천파크골프장,경남,경남,경상남도 하동군 횡천면 횡천리 639-3,18,,False,공개,35.1111605,127.8109187
횡천파크골프장,경남,경남,경상남도 하동군 횡천면 횡천리 639-3,18,,False,공개,37.5085,127.0632
효령파크골프장,대구,대구,대구광역시 군위군 효령면 장기리 116,9,,False,공개,37.5085,127.0632
효령파크골프장,대구,대구,대구광역시 군위군 효령면 장기리 116,9,,False,공개,37.5085,127.0632
고금파크골프장,전남,전남,전라남도 완도군 고금면 농산리 759-1,9,,False,공개,37.5085,127.0632
고산파크골프장,전북,전북,전북특별자치도 완주군 고산면 읍내리 902 고산체육공원 내,18,,False,공개,37.5085,127.0632
고창파크골프장,전북,전북,전북특별자치도 고창군 고창읍 월암리 407-2 (고창스포츠타운내),18,,False,공개,37.5085,127.0632
곡성동악파크골프장,전남,전남,전라남도 곡성군 죽동리 체육공원내,18,,False,공개,37.5085,127.0632
광산구 서봉파크골프장,광주,광주,광주광역시 광산구 서봉동 205-6,36,,False,공개,35.1553687,126.752679
광양시파크골프장,전남,전남,전라남도 광양시 강변동길 216,18,,False,공개,37.5085,127.0632
